 Station,ReadingDate,TrapFactor,SpeciesFactor,Latitude,Longitude,weekNumber,V1,V2,WnvPresentChar,ID,Date,Tmax,Tmin,Tavg,PrecipTotal,StnPressure,SeaLevel,ResultSpeed,ResultDir,AvgSpeed,DewPoint,Sunrise,Sunset,SevendaymedianTmp,ThreedaymedianTmp,SevendaymedianMinTmp,ThreedaymedianMinTmp
1,6/5/2007,T011,CULEX RESTUANS,41.944869,-87.832763,23,1,0,FALSE,71,6/5/2007,64,47,56,0.42,29.1,29.79,5.2,5,7.6,48,417,1923,61,57,51,47
1,6/26/2007,T011,CULEX PIPIENS/RESTUANS,41.944869,-87.832763,26,2,0,FALSE,113,6/26/2007,92,70,81,0.16,29.39,30.11,6.1,22,7.1,69,418,1931,80,81,70,71
1,6/26/2007,T011,CULEX RESTUANS,41.944869,-87.832763,26,4,0,FALSE,113,6/26/2007,92,70,81,0.16,29.39,30.11,6.1,22,7.1,69,418,1931,80,81,70,71
1,7/2/2007,T011,CULEX PIPIENS/RESTUANS,41.944869,-87.832763,27,6,0,FALSE,125,7/2/2007,79,53,66,0,29.49,30.22,5.9,14,8.1,50,420,1931,73,68,63,58
1,7/11/2007,T011,CULEX PIPIENS,41.944869,-87.832763,28,1,0,FALSE,143,7/11/2007,77,62,70,0,29.23,29.93,8.8,30,10.,51,426,1928,70,70,61,62
1,7/11/2007,T011,CULEX PIPIENS/RESTUANS,41.944869,-87.832763,28,8,0,FALSE,143,7/11/2007,77,62,70,0,29.23,29.93,8.8,30,10.9,51,426,1928,70,70,61,62
1,7/11/2007,T011,CULEX RESTUANS,41.944869,-87.832763,28,3,0,FALSE,143,7/11/2007,77,62,70,0,29.23,29.93,8.8,30,10.9,51,426,1928,70,70,61,62
1,7/18/2007,T011,CULEX PIPIENS/RESTUANS,41.944869,-87.832763,29,3,0,FALSE,157,7/18/2007,85,69,77,1.55,29.11,29.84,9.1,24,10.1,68,432,1924,73,77,63,69
1,7/18/2007,T011,CULEX RESTUANS,41.944869,-87.832763,29,1,0,FALSE,157,7/18/2007,85,69,77,1.55,29.11,29.84,9.1,24,10.1,68,432,1924,73,77,63,69
1,7/27/2007,T011,CULEX PIPIENS/RESTUANS,41.944869,-87.832763,30,6,0,FALSE,175,7/27/2007,83,70,77,0.17,29.11,29.82,3,3,7.9,68,440,1917,76,77,67,70
1,7/27/2007,T011,CULEX RESTUANS,41.944869,-87.832763,30,5,0,FALSE,175,7/27/2007,83,70,77,0.17,29.11,29.82,3,3,7.9,68,440,1917,76,77,67,70
1,8/1/2007,T011,CULEX PIPIENS,41.944869,-87.832763,31,16,0,FALSE,185,8/1/2007,92,69,81,0,29.29,30,3.5,9,4.1,62,445,1911,81,81,69,69
1,8/1/2007,T011,CULEX PIPIENS/RESTUANS,41.944869,-87.832763,31,16,0,FALSE,185,8/1/2007,92,69,81,0,29.29,30,3.5,9,4.1,62,445,1911,81,81,69,69
1,8/1/2007,T011,CULEX RESTUANS,41.944869,-87.832763,31,2,0,FALSE,185,8/1/2007,92,69,81,0,29.29,30,3.5,9,4.1,62,445,1911,81,81,69,69
1,8/7/2007,T011,CULEX PIPIENS,41.944869,-87.832763,32,43,1,TRUE,197,8/7/2007,91,72,82,1.31,29.06,29.76,6.2,25,9,73,451,1904,80,82,73,73
1,8/7/2007,T011,CULEX PIPIENS/RESTUANS,41.944869,-87.832763,32,28,1,TRUE,197,8/7/2007,91,72,82,1.31,29.06,29.76,6.2,25,9,73,451,1904,80,82,73,73
1,8/7/2007,T011,CULEX RESTUANS,41.944869,-87.832763,32,1,0,FALSE,197,8/7/2007,91,72,82,1.31,29.06,29.76,6.2,25,9,73,451,1904,80,82,73,73
1,8/15/2007,T011,CULEX PIPIENS,41.944869,-87.832763,33,25,1,TRUE,213,8/15/2007,80,71,76,0.23,29.17,29.89,3.4,7,5.8,67,459,1854,72,76,65,71
1,8/15/2007,T011,CULEX PIPIENS/RESTUANS,41.944869,-87.832763,33,39,1,TRUE,213,8/15/2007,80,71,76,0.23,29.17,29.89,3.4,7,5.8,67,459,1854,72,76,65,71
1,8/21/2007,T011,CULEX PIPIENS,41.944869,-87.832763,34,11,1,TRUE,225,8/21/2007,87,69,78,0,29.21,29.91,3.8,18,6,70,505,1845,78,78,69,69
1,8/21/2007,T011,CULEX PIPIENS/RESTUANS,41.944869,-87.832763,34,9,0,FALSE,225,8/21/2007,87,69,78,0,29.21,29.91,3.8,18,6,70,505,1845,78,78,69,69
1,8/24/2007,T011,CULEX PIPIENS,41.944869,-87.832763,34,9,1,TRUE,231,8/24/2007,80,69,75,0.24,29.11,29.82,5.8,25,7.1,67,509,1840,71,75,64,69
1,8/24/2007,T011,CULEX PIPIENS/RESTUANS,41.944869,-87.832763,34,17,0,FALSE,231,8/24/2007,80,69,75,0.24,29.11,29.82,5.8,25,7.1,67,509,1840,71,75,64,69
1,9/4/2007,T011,CULEX PIPIENS,41.944869,-87.832763,36,2,0,FALSE,253,9/4/2007,89,63,76,0,29.28,30,2.8,22,4.3,60,520,1822,78,78,70,66
1,9/4/2007,T011,CULEX PIPIENS/RESTUANS,41.944869,-87.832763,36,2,0,FALSE,253,9/4/2007,89,63,76,0,29.28,30,2.8,22,4.3,60,520,1822,78,78,70,66
1,9/12/2007,T011,CULEX PIPIENS,41.944869,-87.832763,37,11,0,FALSE,269,9/12/2007,67,46,57,0,29.4,30.12,1.8,3,5.6,42,528,1809,57,57,46,46
1,9/12/2007,T011,CULEX PIPIENS/RESTUANS,41.944869,-87.832763,37,10,1,TRUE,269,9/12/2007,67,46,57,0,29.4,30.12,1.8,3,5.6,42,528,1809,57,57,46,46
1,9/18/2007,T011,CULEX PIPIENS,41.944869,-87.832763,38,1,0,FALSE,281,9/18/2007,88,63,76,0,29.34,30.06,12.9,19,13.1,58,535,1756,76,76,64,65
1,9/18/2007,T011,CULEX TERRITANS,41.944869,-87.832763,38,1,0,FALSE,281,9/18/2007,88,63,76,0,29.34,30.06,12.9,19,13.1,58,535,1756,76,76,64,65
1,9/24/2007,T011,CULEX PIPIENS,41.944869,-87.832763,39,2,0,FALSE,293,9/24/2007,90,68,79,0,29.27,29.99,11.4,19,11.9,63,541,1746,74,79,63,68
1,10/4/2007,T011,CULEX PIPIENS,41.944869,-87.832763,40,2,0,FALSE,313,10/4/2007,82,51,67,0,29.34,30.04,3.9,17,4.6,56,552,1729,77,70,67,56
1,10/4/2007,T011,CULEX PIPIENS/RESTUANS,41.944869,-87.832763,40,5,0,FALSE,313,10/4/2007,82,51,67,0,29.34,30.04,3.9,17,4.6,56,552,1729,77,70,67,56
1,5/28/2009,T009,CULEX RESTUANS,41.992478,-87.862995,21,1,0,FALSE,791,5/28/2009,62,54,58,0,29.06,29.76,6.8,30,8.1,51,421,1916,62,60,53,54
1,5/28/2009,T011,CULEX PIPIENS/RESTUANS,41.944869,-87.832763,21,5,0,FALSE,791,5/28/2009,62,54,58,0,29.06,29.76,6.8,30,8.1,51,421,1916,62,60,53,54
1,5/28/2009,T900,CULEX RESTUANS,41.974689,-87.890615,21,34,0,FALSE,791,5/28/2009,62,54,58,0,29.06,29.76,6.8,30,8.1,51,421,1916,62,60,53,54
1,6/2/2009,T009,CULEX PIPIENS/RESTUANS,41.992478,-87.862995,22,9,0,FALSE,801,6/2/2009,60,48,54,0.12,29.36,30.09,7.4,3,8,46,419,1920,55,54,47,48
1,6/2/2009,T009,CULEX TERRITANS,41.992478,-87.862995,22,1,0,FALSE,801,6/2/2009,60,48,54,0.12,29.36,30.09,7.4,3,8,46,419,1920,55,54,47,48
1,6/2/2009,T011,CULEX PIPIENS/RESTUANS,41.944869,-87.832763,22,7,0,FALSE,801,6/2/2009,60,48,54,0.12,29.36,30.09,7.4,3,8,46,419,1920,55,54,47,48
1,6/3/2009,T900,CULEX PIPIENS/RESTUANS,41.974689,-87.890615,22,254,0,FALSE,803,6/3/2009,61,43,52,0,29.42,30.15,10.5,4,10.7,39,418,1921,57,54,47,43
1,6/3/2009,T900,CULEX RESTUANS,41.974689,-87.890615,22,80,0,FALSE,803,6/3/2009,61,43,52,0,29.42,30.15,10.5,4,10.7,39,418,1921,57,54,47,43
1,6/3/2009,T903,CULEX PIPIENS/RESTUANS,41.957799,-87.930995,22,11,0,FALSE,803,6/3/2009,61,43,52,0,29.42,30.15,10.5,4,10.7,39,418,1921,57,54,47,43
1,6/3/2009,T903,CULEX RESTUANS,41.957799,-87.930995,22,3,0,FALSE,803,6/3/2009,61,43,52,0,29.42,30.15,10.5,4,10.7,39,418,1921,57,54,47,43
1,6/5/2009,T011,CULEX PIPIENS/RESTUANS,41.944869,-87.832763,22,7,0,FALSE,807,6/5/2009,79,44,62,0,29.18,29.91,5.8,26,6.7,44,417,1923,63,62,52,47
1,6/5/2009,T011,CULEX RESTUANS,41.944869,-87.832763,22,1,0,FALSE,807,6/5/2009,79,44,62,0,29.18,29.91,5.8,26,6.7,44,417,1923,63,62,52,47
1,6/5/2009,T900,CULEX PIPIENS/RESTUANS,41.974689,-87.890615,22,10,0,FALSE,807,6/5/2009,79,44,62,0,29.18,29.91,5.8,26,6.7,44,417,1923,63,62,52,47
1,6/5/2009,T900,CULEX RESTUANS,41.974689,-87.890615,22,2,0,FALSE,807,6/5/2009,79,44,62,0,29.18,29.91,5.8,26,6.7,44,417,1923,63,62,52,47
1,6/5/2009,T903,CULEX PIPIENS/RESTUANS,41.957799,-87.930995,22,2,0,FALSE,807,6/5/2009,79,44,62,0,29.18,29.91,5.8,26,6.7,44,417,1923,63,62,52,47
1,6/12/2009,T009,CULEX RESTUANS,41.992478,-87.862995,23,12,0,FALSE,821,6/12/2009,74,49,62,0,29.24,29.95,4.4,7,5.8,49,416,1927,62,61,53,50
1,6/12/2009,T011,CULEX PIPIENS/RESTUANS,41.944869,-87.832763,23,47,0,FALSE,821,6/12/2009,74,49,62,0,29.24,29.95,4.4,7,5.8,49,416,1927,62,61,53,50
1,6/12/2009,T011,CULEX RESTUANS,41.944869,-87.832763,23,44,0,FALSE,821,6/12/2009,74,49,62,0,29.24,29.95,4.4,7,5.8,49,416,1927,62,61,53,50
1,6/15/2009,T900,CULEX PIPIENS,41.974689,-87.890615,24,23,0,FALSE,827,6/15/2009,81,53,67,0,29.28,30.01,5.5,9,6.4,49,416,1928,68,67,61,57
1,6/15/2009,T900,CULEX PIPIENS/RESTUANS,41.974689,-87.890615,24,116,0,FALSE,827,6/15/2009,81,53,67,0,29.28,30.01,5.5,9,6.4,49,416,1928,68,67,61,57
1,6/15/2009,T900,CULEX RESTUANS,41.974689,-87.890615,24,49,0,FALSE,827,6/15/2009,81,53,67,0,29.28,30.01,5.5,9,6.4,49,416,1928,68,67,61,57
1,6/15/2009,T903,CULEX RESTUANS,41.957799,-87.930995,24,5,0,FALSE,827,6/15/2009,81,53,67,0,29.28,30.01,5.5,9,6.4,49,416,1928,68,67,61,57
1,6/19/2009,T009,CULEX PIPIENS/RESTUANS,41.992478,-87.862995,24,2,0,FALSE,835,6/19/2009,86,65,76,3.97,28.97,29.7,7.2,18,11.6,67,416,1930,78,77,68,66
1,6/19/2009,T011,CULEX PIPIENS/RESTUANS,41.944869,-87.832763,24,27,0,FALSE,835,6/19/2009,86,65,76,3.97,28.97,29.7,7.2,18,11.6,67,416,1930,78,77,68,66
1,6/19/2009,T011,CULEX RESTUANS,41.944869,-87.832763,24,4,0,FALSE,835,6/19/2009,86,65,76,3.97,28.97,29.7,7.2,18,11.6,67,416,1930,78,77,68,66
1,6/22/2009,T900,CULEX PIPIENS/RESTUANS,41.974689,-87.890615,25,1520,0,FALSE,841,6/22/2009,89,68,79,0.09,29.09,29.79,4,11,5.6,67,417,1931,83,80,73,70
1,6/22/2009,T900,CULEX RESTUANS,41.974689,-87.890615,25,76,0,FALSE,841,6/22/2009,89,68,79,0.09,29.09,29.79,4,11,5.6,67,417,1931,83,80,73,70
1,6/22/2009,T903,CULEX PIPIENS/RESTUANS,41.957799,-87.930995,25,481,0,FALSE,841,6/22/2009,89,68,79,0.09,29.09,29.79,4,11,5.6,67,417,1931,83,80,73,70
1,6/22/2009,T903,CULEX RESTUANS,41.957799,-87.930995,25,39,0,FALSE,841,6/22/2009,89,68,79,0.09,29.09,29.79,4,11,5.6,67,417,1931,83,80,73,70
1,6/26/2009,T009,CULEX PIPIENS/RESTUANS,41.992478,-87.862995,25,68,0,FALSE,849,6/26/2009,86,69,78,0,29.15,29.85,6.4,4,8.2,60,418,1931,76,78,67,69
1,6/26/2009,T009,CULEX RESTUANS,41.992478,-87.862995,25,6,0,FALSE,849,6/26/2009,86,69,78,0,29.15,29.85,6.4,4,8.2,60,418,1931,76,78,67,69
1,6/26/2009,T011,CULEX PIPIENS/RESTUANS,41.944869,-87.832763,25,9,0,FALSE,849,6/26/2009,86,69,78,0,29.15,29.85,6.4,4,8.2,60,418,1931,76,78,67,69
1,6/26/2009,T011,CULEX RESTUANS,41.944869,-87.832763,25,6,0,FALSE,849,6/26/2009,86,69,78,0,29.15,29.85,6.4,4,8.2,60,418,1931,76,78,67,69
1,6/29/2009,T900,CULEX PIPIENS,41.974689,-87.890615,26,6,0,FALSE,855,6/29/2009,77,63,70,0,28.89,29.6,12.2,30,12.7,54,419,1931,65,70,59,63
1,6/29/2009,T900,CULEX PIPIENS/RESTUANS,41.974689,-87.890615,26,836,0,FALSE,855,6/29/2009,77,63,70,0,28.89,29.6,12.2,30,12.7,54,419,1931,65,70,59,63
1,6/29/2009,T900,CULEX RESTUANS,41.974689,-87.890615,26,36,0,FALSE,855,6/29/2009,77,63,70,0,28.89,29.6,12.2,30,12.7,54,419,1931,65,70,59,63
1,6/29/2009,T903,CULEX PIPIENS/RESTUANS,41.957799,-87.930995,26,7,0,FALSE,855,6/29/2009,77,63,70,0,28.89,29.6,12.2,30,12.7,54,419,1931,65,70,59,63
1,7/6/2009,T009,CULEX RESTUANS,41.992478,-87.862995,27,9,0,FALSE,869,7/6/2009,86,60,73,0,29.14,29.86,7.5,31,7.8,54,423,1930,69,73,61,60
1,7/6/2009,T011,CULEX PIPIENS/RESTUANS,41.944869,-87.832763,27,5,0,FALSE,869,7/6/2009,86,60,73,0,29.14,29.86,7.5,31,7.8,54,423,1930,69,73,61,60
1,7/6/2009,T011,CULEX RESTUANS,41.944869,-87.832763,27,10,0,FALSE,869,7/6/2009,86,60,73,0,29.14,29.86,7.5,31,7.8,54,423,1930,69,73,61,60
1,7/6/2009,T900,CULEX PIPIENS,41.974689,-87.890615,27,13,0,FALSE,869,7/6/2009,86,60,73,0,29.14,29.86,7.5,31,7.8,54,423,1930,69,73,61,60
1,7/6/2009,T900,CULEX PIPIENS/RESTUANS,41.974689,-87.890615,27,131,0,FALSE,869,7/6/2009,86,60,73,0,29.14,29.86,7.5,31,7.8,54,423,1930,69,73,61,60
1,7/6/2009,T900,CULEX RESTUANS,41.974689,-87.890615,27,24,0,FALSE,869,7/6/2009,86,60,73,0,29.14,29.86,7.5,31,7.8,54,423,1930,69,73,61,60
