,TrapFactor,Station,Date,Latitude,Longitude,weekNumber,Tmax,Tmin,Tavg,PrecipTotal,StnPressure,SeaLevel,ResultSpeed,ResultDir,AvgSpeed,DewPoint,Sunrise,Sunset,SevendaymedianTmp,ThreedaymedianTmp,SevendaymedianMinTmp,ThreedaymedianMinTmp,RelHumidity,V1_detailed,WnvPresent_detailed,RESTUANS_detailed,PIPENS_detailed,PIPIENS-RESTUANS_detailed,TERRITANS_detailed,SALINARIUS_detailed,ERRATICUS_detailed,TARSALIS_detailed
0,T001,2,10/4/2007,41.953705,-87.733974,40,83,56,70,0.0,29.39,30.03,4.6,17,5.9,56,552,1729,77,73,68,62,61.1421746910109,2,0,0,1,0,1,0,0,0
1,T001,2,6/26/2007,41.953705,-87.733974,26,91,73,82,0.0,29.45,30.09,7.3,21,8.1,69,418,1931,67,81,61,71,64.83182192304785,1,0,0,0,1,0,0,0,0
2,T001,2,7/11/2007,41.953705,-87.733974,28,77,63,70,0.0,29.28,29.92,9.1,30,11.2,51,426,1928,70,70,61,61,50.916423485910975,1,0,0,0,1,0,0,0,0
3,T001,2,7/18/2007,41.953705,-87.733974,29,85,69,77,0.92,29.18,29.83,10.3,24,10.6,69,432,1924,68,73,62,63,76.37954483234944,1,0,0,1,0,0,0,0,0
4,T001,2,8/1/2007,41.953705,-87.733974,31,91,69,80,0.0,29.34,29.98,2.1,13,3.7,63,445,1911,80,81,69,70,56.19500657655519,4,0,0,1,1,0,0,0,0
5,T001,2,8/15/2007,41.953705,-87.733974,33,81,72,77,0.83,29.23,29.87,4.9,6,7.1,69,459,1854,71,72,65,67,76.37954483234944,10,0,0,1,1,0,0,0,0
6,T001,2,8/21/2007,41.953705,-87.733974,34,85,69,77,0.01,29.26,29.89,3.5,17,6.0,70,505,1845,78,80,69,69,79.0351509846267,1,0,0,1,0,0,0,0,0
7,T001,2,8/24/2007,41.953705,-87.733974,34,81,69,75,0.2,29.16,29.81,5.5,25,7.3,67,509,1840,71,72,63,65,76.20658896526173,2,0,0,0,1,0,0,0,0
8,T001,2,8/7/2007,41.953705,-87.733974,32,92,73,83,0.06,29.11,29.74,6.3,24,8.8,73,451,1904,80,81,73,73,71.89951546063524,2,0,0,1,1,0,0,0,0
9,T001,2,9/12/2007,41.953705,-87.733974,37,66,46,56,0.0,29.46,30.11,1.9,5,6.0,43,528,1809,56,64,46,50,61.61093846002645,1,0,0,0,1,0,0,0,0
10,T002,2,10/4/2007,41.95469,-87.800991,40,83,56,70,0.0,29.39,30.03,4.6,17,5.9,56,552,1729,77,73,68,62,61.1421746910109,82,0,0,1,1,0,0,0,0
11,T002,2,5/28/2009,41.95469,-87.800991,21,64,55,60,0.0,29.11,29.75,6.8,29,8.3,51,421,1916,62,62,50,55,72.137331284171,2,0,0,0,1,0,0,0,0
12,T002,2,5/29/2007,41.95469,-87.800991,22,88,65,77,0.0,29.44,30.09,5.8,16,7.4,59,421,1917,77,77,66,66,53.83064226424435,2,0,1,0,1,0,0,0,0
13,T002,2,6/12/2009,41.95469,-87.800991,23,72,50,61,0.0,29.3,29.95,5.0,6,6.7,49,416,1927,64,61,54,54,64.63310849589597,8,0,1,1,1,0,0,0,0
14,T002,2,6/14/2013,41.95469,-87.800991,23,76,57,67,0.0,29.4,30.04,6.0,5,7.8,50,416,1928,74,69,61,58,54.3838618372742,314,0,1,0,1,0,0,0,0
15,T002,2,6/17/2011,41.95469,-87.800991,24,82,64,73,0.0,29.18,29.81,5.3,7,6.2,60,416,1929,73,73,64,63,63.75884189409329,14,0,0,0,1,0,0,0,0
16,T002,2,6/19/2009,41.95469,-87.800991,24,88,66,77,0.87,29.03,29.68,6.3,18,10.5,68,416,1930,79,78,69,68,73.8025121880607,28,0,1,0,1,0,0,0,0
17,T002,2,6/2/2009,41.95469,-87.800991,22,61,50,56,0.06,29.42,30.07,8.3,3,9.2,47,419,1920,56,54,47,47,71.72422019136161,29,0,0,0,1,0,0,0,0
18,T002,2,6/21/2013,41.95469,-87.800991,24,85,70,78,0.11,29.39,30.04,7.6,19,9.6,63,416,1930,77,77,68,70,60.01107855818599,19,0,1,0,0,0,0,0,0
19,T002,2,6/24/2011,41.95469,-87.800991,25,68,60,64,0.0,29.13,29.76,8.5,29,8.7,55,417,1931,70,69,61,60,72.54211374670008,9,0,1,0,1,0,0,0,0
20,T002,2,6/26/2007,41.95469,-87.800991,26,91,73,82,0.0,29.45,30.09,7.3,21,8.1,69,418,1931,67,81,61,71,64.83182192304785,6,0,1,0,1,0,1,0,0
21,T002,2,6/26/2009,41.95469,-87.800991,25,86,72,79,0.0,29.2,29.83,6.4,4,8.0,61,418,1931,76,79,66,67,54.11135105682001,119,0,1,1,1,0,0,0,0
22,T002,2,6/27/2013,41.95469,-87.800991,25,91,66,79,0.59,29.08,29.71,6.1,29,6.8,65,418,1931,70,76,64,67,62.2760878775776,19,0,1,0,1,0,0,0,0
23,T002,2,6/29/2007,41.95469,-87.800991,26,71,56,64,0.0,29.47,30.11,7.4,2,8.2,56,419,1931,67,67,56,56,75.22266484350234,2,0,0,0,1,0,0,0,0
24,T002,2,6/30/2011,41.95469,-87.800991,26,89,66,78,0.03,29.34,29.99,9.2,16,10.6,61,419,1931,80,80,70,70,55.92225541850748,35,0,1,0,1,0,0,0,0
