,Date,weekNumber,V1_summary,WnvPresent_summary
0,10/1/2009,39,212,0
1,10/4/2007,40,1373,2
2,10/9/2007,41,333,0
3,5/28/2009,21,190,0
4,5/29/2007,22,40,0
5,6/10/2011,23,429,0
6,6/12/2009,23,1204,0
7,6/14/2013,23,1670,0
8,6/15/2009,24,345,0
9,6/17/2011,24,830,0
10,6/19/2009,24,701,0
11,6/2/2009,22,663,0
12,6/21/2013,24,1319,0
13,6/22/2009,25,2171,0
14,6/24/2011,25,846,0
15,6/26/2007,26,216,0
16,6/26/2009,25,798,0
17,6/27/2013,25,439,0
18,6/28/2013,25,923,1
19,6/29/2007,26,85,0
20,6/29/2009,26,903,0
21,6/3/2009,22,348,0
22,6/30/2011,26,1944,0
23,6/5/2007,23,127,0
24,6/5/2009,22,257,0
25,6/7/2013,22,360,0
26,7/10/2009,27,996,0
27,7/11/2007,28,1103,0
28,7/11/2011,28,2091,0
29,7/12/2013,27,4796,7
30,7/13/2009,28,1369,0
31,7/15/2011,28,2497,0
32,7/17/2009,28,1893,0
33,7/18/2007,29,853,1
34,7/19/2007,29,687,0
35,7/19/2013,28,4168,14
36,7/2/2007,27,240,0
37,7/24/2009,29,1215,2
38,7/25/2007,30,4069,2
39,7/25/2011,30,2449,3
40,7/25/2013,29,1974,2
41,7/27/2007,30,247,0
42,7/27/2009,30,1482,2
43,7/29/2011,30,1408,7
44,7/31/2009,30,1159,1
45,7/6/2009,27,719,0
46,7/8/2013,27,1833,0
47,8/1/2007,31,6904,15
48,8/1/2013,30,2865,14
49,8/12/2011,32,824,7
50,8/13/2009,32,602,2
51,8/15/2007,33,4661,34
52,8/15/2013,32,1946,18
53,8/16/2007,33,4555,4
54,8/17/2007,33,1915,5
55,8/19/2011,33,589,3
56,8/2/2007,31,2898,3
57,8/21/2007,34,1667,31
58,8/22/2007,34,4512,19
59,8/22/2013,33,2063,29
60,8/24/2007,34,1478,24
61,8/25/2009,34,691,7
62,8/26/2011,34,490,4
63,8/27/2009,34,175,0
64,8/28/2007,35,4748,7
65,8/29/2013,34,2645,26
66,8/3/2007,31,204,0
67,8/5/2011,31,1065,4
68,8/7/2007,32,1780,11
69,8/7/2009,31,878,0
70,8/8/2007,32,4186,5
71,8/8/2013,31,3188,30
72,8/9/2007,32,507,1
73,9/1/2011,35,319,4
74,9/12/2007,37,1193,5
75,9/12/2011,37,734,6
76,9/12/2013,36,2210,20
77,9/14/2009,37,563,3
78,9/16/2011,37,821,3
79,9/17/2009,37,743,0
80,9/18/2007,38,392,0
81,9/19/2007,38,1756,1
82,9/19/2013,37,1030,9
83,9/2/2011,35,551,3
84,9/23/2011,38,728,6
85,9/24/2007,39,1570,1
86,9/25/2007,39,333,0
87,9/25/2009,38,702,1
88,9/26/2013,38,505,4
89,9/3/2009,35,129,1
90,9/30/2011,39,184,0
91,9/4/2007,36,524,8
92,9/5/2007,36,2021,8
93,9/6/2007,36,1511,2
94,9/6/2013,35,2510,25
